#Parameters = {D_center=12; L1=25; L2=2.5; L3=2; L4=18; L_diff=2.83; L_sub=48.06; W_50=1.36; W_sub=48.06; Z_mid=24.03; cm=0.3; ct=12; g_slot=0.8; h1=2; h2=1; h3=2; h4=2; h_sub=9.75; hole_puncher=0.87365; hole_puncher1=1.7; needle_radius=0.635; nutrient_solution=0.01; pipe_OD=50; pipe_Ri=8; pipe_Ro=10; r_SRR=21.2; r_SRR_in=18.8; sigma_fluid=0.5; spacing=0.4; t_PDMS_microstrip=0.35; t_SRR=2; t_gnd=2; t_metal=0.5; t_microstrip=2; t_wall=2; w_channel=2; w_diff=2.83}
#"Frequency / GHz"	"S1,1 (59) [Magnitude / dB]"
#----------------------------------------------
1.0000000000000	-0.28211328971720
1.0040000000000	-0.28200320256478
1.0080000000000	-0.28190732386517
1.0120000000000	-0.28182574998489
1.0160000000000	-0.28175857884649
1.0200000000000	-0.28170590996577
1.0240000000000	-0.28166784448982
1.0280000000000	-0.28164448523612
1.0320000000000	-0.28163593673261
1.0360000000000	-0.28164230525859
1.0400000000000	-0.28166369888680
1.0440000000000	-0.28170022752653
1.0480000000000	-0.28175200296773
1.0520000000000	-0.28181913892611
1.0560000000000	-0.28190175108969
1.0600000000000	-0.28199995716633
1.0640000000000	-0.28211387693207
1.0680000000000	-0.28224363228130
1.0720000000000	-0.28238934727795
1.0760000000000	-0.28255114820773
1.0800000000000	-0.28272916363197
1.0840000000000	-0.28292352444243
1.0880000000000	-0.28313436391821
1.0920000000000	-0.28336181778307
1.0960000000000	-0.28360602426525
1.1000000000000	-0.28386712415754
1.1040000000000	-0.28414526088020
1.1080000000000	-0.28444058054483
1.1120000000000	-0.28475323201913
1.1160000000000	-0.28508336699498
1.1200000000000	-0.28543114005655
1.1240000000000	-0.28579670875078
1.1280000000000	-0.28618023366041
1.1320000000000	-0.28658187847754
1.1360000000000	-0.28700181007909
1.1400000000000	-0.28744019860625
1.1440000000000	-0.28789721754289
1.1480000000000	-0.28837304379820
1.1520000000000	-0.28886785779057
1.1560000000000	-0.28938184353353
1.1600000000000	-0.28991518872421
1.1640000000000	-0.29046808483393
1.1680000000000	-0.29104072720049
1.1720000000000	-0.29163331512438
1.1760000000000	-0.29224605196582
1.1800000000000	-0.29287914524399
1.1840000000000	-0.29353280674202
1.1880000000000	-0.29420725260947
1.1920000000000	-0.29490270347252
1.1960000000000	-0.29561938454329
1.2000000000000	-0.29635752573439
1.2040000000000	-0.29711736177483
1.2080000000000	-0.29789913232922
1.2120000000000	-0.29870308212121
1.2160000000000	-0.29952946105825
1.2200000000000	-0.30037852436086
1.2240000000000	-0.30125053269500
1.2280000000000	-0.30214575230730
1.2320000000000	-0.30306445516399
1.2360000000000	-0.30400691909466
1.2400000000000	-0.30497342793748
1.2440000000000	-0.30596427168926
1.2480000000000	-0.30697974666057
1.2520000000000	-0.30802015563270
1.2560000000000	-0.30908580802000
1.2600000000000	-0.31017702003629
1.2640000000000	-0.31129411486509
1.2680000000000	-0.31243742283553
1.2720000000000	-0.31360728159947
1.2760000000000	-0.31480403631891
1.2800000000000	-0.31602803985252
1.2840000000000	-0.31727965294968
1.2880000000000	-0.31855924445042
1.2920000000000	-0.31986719148868
1.2960000000000	-0.32120387970139
1.3000000000000	-0.32256970344330
1.3040000000000	-0.32396506600741
1.3080000000000	-0.32539037985127
1.3120000000000	-0.32684606682729
1.3160000000000	-0.32833255842304
1.3200000000000	-0.32985029600340
1.3240000000000	-0.33139973106058
1.3280000000000	-0.33298132547298
1.3320000000000	-0.33459555176676
1.3360000000000	-0.33624289338696
1.3400000000000	-0.33792384497458
1.3440000000000	-0.33963891265109
1.3480000000000	-0.34138861431046
1.3520000000000	-0.34317347991797
1.3560000000000	-0.34499405181786
1.3600000000000	-0.34685088504777
1.3640000000000	-0.34874454766255
1.3680000000000	-0.35067562106470
1.3720000000000	-0.35264470034512
1.3760000000000	-0.35465239463118
1.3800000000000	-0.35669932744428
1.3840000000000	-0.35878613706712
1.3880000000000	-0.36091347691875
1.3920000000000	-0.36308201594093
1.3960000000000	-0.36529243899308
1.4000000000000	-0.36754544725773
1.4040000000000	-0.36984175865598
1.4080000000000	-0.37218210827375
1.4120000000000	-0.37456724879867
1.4160000000000	-0.37699795096725
1.4200000000000	-0.37947500402365
1.4240000000000	-0.38199921619052
1.4280000000000	-0.38457141515044
1.4320000000000	-0.38719244853927
1.4360000000000	-0.38986318445234
1.4400000000000	-0.39258451196232
1.4440000000000	-0.39535734164973
1.4480000000000	-0.39818260614670
1.4520000000000	-0.40106126069289
1.4560000000000	-0.40399428370523
1.4600000000000	-0.40698267736124
1.4640000000000	-0.41002746819548
1.4680000000000	-0.41312970771021
