#Parameters = {D_center=12; L1=25; L2=2.5; L3=2; L4=18; L_diff=2.83; L_sub=48.06; W_50=1.36; W_sub=48.06; Z_mid=24.03; cm=0.3; ct=12; g_slot=0.8; h1=2; h2=1; h3=2; h4=2; h_sub=9.75; hole_puncher=0.87365; hole_puncher1=1.7; needle_radius=0.635; nutrient_solution=0.01; pipe_OD=50; pipe_Ri=8; pipe_Ro=10; r_SRR=21.2; r_SRR_in=18.8; sigma_fluid=0.5; spacing=0.4; t_PDMS_microstrip=0.35; t_SRR=2; t_gnd=2; t_metal=0.5; t_microstrip=2; t_wall=2; w_channel=2; w_diff=2.83}
#"Frequency / GHz"	"S1,1 (r_SRR=21.2) [Magnitude / dB]"
#------------------------------------------------------
1.0000000000000	-0.18067776849860
1.0040000000000	-0.17760801691611
1.0080000000000	-0.17463563051395
1.0120000000000	-0.17176125297617
1.0160000000000	-0.16898551549813
1.0200000000000	-0.16630903623819
1.0240000000000	-0.16373241976322
1.0280000000000	-0.16125625648826
1.0320000000000	-0.15888112211092
1.0360000000000	-0.15660757704063
1.0400000000000	-0.15443616582330
1.0440000000000	-0.15236741656195
1.0480000000000	-0.15040184033356
1.0520000000000	-0.14853993060274
1.0560000000000	-0.14678216263285
1.0600000000000	-0.14512899289486
1.0640000000000	-0.14358085847480
1.0680000000000	-0.14213817648007
1.0720000000000	-0.14080134344558
1.0760000000000	-0.13957073474020
1.0800000000000	-0.13844670397381
1.0840000000000	-0.13742958240663
1.0880000000000	-0.13651967836027
1.0920000000000	-0.13571727663233
1.0960000000000	-0.13502263791452
1.1000000000000	-0.13443599821569
1.1040000000000	-0.13395756829017
1.1080000000000	-0.13358753307238
1.1120000000000	-0.13332605111852
1.1160000000000	-0.13317325405633
1.1200000000000	-0.13312924604382
1.1240000000000	-0.13319410323730
1.1280000000000	-0.13336787327085
1.1320000000000	-0.13365057474690
1.1360000000000	-0.13404219673972
1.1400000000000	-0.13454269831195
1.1440000000000	-0.13515200804692
1.1480000000000	-0.13587002359502
1.1520000000000	-0.13669661123796
1.1560000000000	-0.13763160547004
1.1600000000000	-0.13867480859815
1.1640000000000	-0.13982599036166
1.1680000000000	-0.14108488757288
1.1720000000000	-0.14245120377954
1.1760000000000	-0.14392460895014
1.1800000000000	-0.14550473918303
1.1840000000000	-0.14719119644062
1.1880000000000	-0.14898354830993
1.1920000000000	-0.15088132778966
1.1960000000000	-0.15288403310592
1.2000000000000	-0.15499112755696
1.2040000000000	-0.15720203938811
1.2080000000000	-0.15951616169788
1.2120000000000	-0.16193285237645
1.2160000000000	-0.16445143407730
1.2200000000000	-0.16707119422291
1.2240000000000	-0.16979138504561
1.2280000000000	-0.17261122366454
1.2320000000000	-0.17552989219949
1.2360000000000	-0.17854653792225
1.2400000000000	-0.18166027344699
1.2440000000000	-0.18487017695990
1.2480000000000	-0.18817529248857
1.2520000000000	-0.19157463021306
1.2560000000000	-0.19506716681777
1.2600000000000	-0.19865184588615
1.2640000000000	-0.20232757833771
1.2680000000000	-0.20609324290907
1.2720000000000	-0.20994768667838
1.2760000000000	-0.21388972563430
1.2800000000000	-0.21791814529006
1.2840000000000	-0.22203170134226
1.2880000000000	-0.22622912037561
1.2920000000000	-0.23050910061314
1.2960000000000	-0.23487031271253
1.3000000000000	-0.23931140060862
1.3040000000000	-0.24383098240225
1.3080000000000	-0.24842765129499
1.3120000000000	-0.25309997657073
1.3160000000000	-0.25784650462325
1.3200000000000	-0.26266576002992
1.3240000000000	-0.26755624667099
1.3280000000000	-0.27251644889547
1.3320000000000	-0.27754483273159
1.3360000000000	-0.28263984714261
1.3400000000000	-0.28779992532754
1.3440000000000	-0.29302348606585
1.3480000000000	-0.29830893510597
1.3520000000000	-0.30365466659712
1.3560000000000	-0.30905906456363
1.3600000000000	-0.31452050442135
1.3640000000000	-0.32003735453515
1.3680000000000	-0.32560797781736
1.3720000000000	-0.33123073336574
1.3760000000000	-0.33690397814058
1.3800000000000	-0.34262606868016
1.3840000000000	-0.34839536285340
1.3880000000000	-0.35421022164926
1.3920000000000	-0.36006901100152
1.3960000000000	-0.36597010364861
1.4000000000000	-0.37191188102708
1.4040000000000	-0.37789273519801
1.4080000000000	-0.38391107080555
1.4120000000000	-0.38996530706655
1.4160000000000	-0.39605387979036
1.4200000000000	-0.40217524342814
1.4240000000000	-0.40832787315046
1.4280000000000	-0.41451026695278
1.4320000000000	-0.42072094778778
1.4360000000000	-0.42695846572385
1.4400000000000	-0.43322140012902
1.4440000000000	-0.43950836187978
1.4480000000000	-0.44581799559416
1.4520000000000	-0.45214898188851
1.4560000000000	-0.45850003965768
1.4600000000000	-0.46486992837826
1.4640000000000	-0.47125745043434
1.4680000000000	-0.47766145346620
1.4720000000000	-0.48408083274141
1.4760000000000	-0.49051453354857
1.4800000000000	-0.49696155361410
1.4840000000000	-0.50342094554217
1.4880000000000	-0.50989181927840
1.4920000000000	-0.51637334459798
1.4960000000000	-0.52286475361905
1.5000000000000	-0.52936534334223
1.5040000000000	-0.53587447821768
1.5080000000000	-0.54239159274080
1.5120000000000	-0.54891619407846
1.5160000000000	-0.55544786472723
1.5200000000000	-0.56198626520601
1.5240000000000	-0.56853113678500
1.5280000000000	-0.57508230425368
1.5320000000000	-0.58163967873064
1.5360000000000	-0.58820326051826
1.5400000000000	-0.59477314200554
1.5440000000000	-0.60134951062290
1.5480000000000	-0.60793265185278
1.5520000000000	-0.61452295230052
1.5560000000000	-0.62112090282997
1.5600000000000	-0.62772710176917
1.5640000000000	-0.63434225819127
1.5680000000000	-0.64096719527665
1.5720000000000	-0.64760285376250
1.5760000000000	-0.65425029548653
1.5800000000000	-0.66091070703201
1.5840000000000	-0.66758540348174
1.5880000000000	-0.67427583228929
1.5920000000000	-0.68098357727598
1.5960000000000	-0.68771036276313
1.6000000000000	-0.69445805784927
1.6040000000000	-0.70122868084299
1.6080000000000	-0.70802440386236
1.6120000000000	-0.71484755761309
1.6160000000000	-0.72170063635769
1.6200000000000	-0.72858630308927
1.6240000000000	-0.73550739492393
1.6280000000000	-0.74246692872695
1.6320000000000	-0.74946810698848
1.6360000000000	-0.75651432396585
1.6400000000000	-0.76360917211016
1.6440000000000	-0.77075644879626
1.6480000000000	-0.77796016337597
1.6520000000000	-0.78522454457597
1.6560000000000	-0.79255404826271
1.6600000000000	-0.79995336559818
1.6640000000000	-0.80742743161170
1.6680000000000	-0.81498143421434
1.6720000000000	-0.82262082368442
1.6760000000000	-0.83035132265346
1.6800000000000	-0.83817893662468
1.6840000000000	-0.84610996505705
1.6880000000000	-0.85415101305052
1.6920000000000	-0.86230900366950
1.6960000000000	-0.87059119094437
1.7000000000000	-0.87900517359268
1.7040000000000	-0.88755890950399
1.7080000000000	-0.89626073103540
1.7120000000000	-0.90511936116656
1.7160000000000	-0.91414393056654
1.7200000000000	-0.92334399562717
1.7240000000000	-0.93272955752078
1.7280000000000	-0.94231108234350
1.7320000000000	-0.95209952240826
1.7360000000000	-0.96210633875477
1.7400000000000	-0.97234352494837
1.7440000000000	-0.98282363224160
1.7480000000000	-0.99355979617727
1.7520000000000	-1.0045657647150
1.7560000000000	-1.0158559279672
1.7600000000000	-1.0274453496336
1.7640000000000	-1.0393498002281
1.7680000000000	-1.0515857921954
1.7720000000000	-1.0641706170163
1.7760000000000	-1.0771223844075
1.7800000000000	-1.0904600637215
1.7840000000000	-1.1042035276558
1.7880000000000	-1.1183735983841
1.7920000000000	-1.1329920962210
1.7960000000000	-1.1480818909341
1.8000000000000	-1.1636669558166
1.8040000000000	-1.1797724246298
1.8080000000000	-1.1964246515243
1.8120000000000	-1.2136512740396
1.8160000000000	-1.2314812792773
1.8200000000000	-1.2499450733283
1.8240000000000	-1.2690745540230
1.8280000000000	-1.2889031870533
1.8320000000000	-1.3094660854903
1.8360000000000	-1.3308000926946
1.8400000000000	-1.3529438685747
1.8440000000000	-1.3759379791092
1.8480000000000	-1.3998249889873
1.8520000000000	-1.4246495571593
1.8560000000000	-1.4504585350052
1.8600000000000	-1.4773010667345
1.8640000000000	-1.5052286915125
1.8680000000000	-1.5342954466711
1.8720000000000	-1.5645579711981
1.8760000000000	-1.5960756085042
1.8800000000000	-1.6289105072386
1.8840000000000	-1.6631277186525
1.8880000000000	-1.6987952886945
1.8920000000000	-1.7359843426481
1.8960000000000	-1.7747691596891
1.9000000000000	-1.8152272342302
1.9040000000000	-1.8574393203331
1.9080000000000	-1.9014894547818
1.9120000000000	-1.9474649536142
1.9160000000000	-1.9954563759981
1.9200000000000	-2.0455574482761
1.9240000000000	-2.0978649397971
1.9280000000000	-2.1524784807640
1.9320000000000	-2.2095003107516
1.9360000000000	-2.2690349447626
1.9400000000000	-2.3311887416735
1.9440000000000	-2.3960693576721
1.9480000000000	-2.4637850647839
1.9520000000000	-2.5344439118360
1.9560000000000	-2.6081527022167
1.9600000000000	-2.6850157595986
1.9640000000000	-2.7651334494422
1.9680000000000	-2.8486004206954
1.9720000000000	-2.9355035287724
1.9760000000000	-3.0259193978502
1.9800000000000	-3.1199115780470
1.9840000000000	-3.2175272515369
1.9880000000000	-3.3187934416637
1.9920000000000	-3.4237126813436
1.9960000000000	-3.5322581024322
2.0000000000000	-3.6443679174521
2.0040000000000	-3.7599392805917
2.0080000000000	-3.8788215379528
2.0120000000000	-4.0008089096664
2.0160000000000	-4.1256326909277
2.0200000000000	-4.2529531174592
2.0240000000000	-4.3823511153127
2.0280000000000	-4.5133202464090
2.0320000000000	-4.6452592693696
2.0360000000000	-4.7774658570822
2.0400000000000	-4.9091321413529
2.0440000000000	-5.0393428791072
2.0480000000000	-5.1670771358156
2.0520000000000	-5.2912144352032
2.0560000000000	-5.4105462989110
2.0600000000000	-5.5237939615831
2.0640000000000	-5.6296327646020
2.0680000000000	-5.7267232857903
2.0720000000000	-5.8137486560683
2.0760000000000	-5.8894567843322
2.0800000000000	-5.9527054362560
2.0840000000000	-6.0025074071414
2.0880000000000	-6.0380725321724
2.0920000000000	-6.0588431228458
2.0960000000000	-6.0645196974575
2.1000000000000	-6.0550746023303
2.1040000000000	-6.0307522217822
2.1080000000000	-5.9920557862750
2.1120000000000	-5.9397220967384
2.1160000000000	-5.8746865765389
2.1200000000000	-5.7980417806664
2.1240000000000	-5.7109927599728
2.1280000000000	-5.6148125151989
2.1320000000000	-5.5108002741758
2.1360000000000	-5.4002446198168
2.1400000000000	-5.2843927246045
2.1440000000000	-5.1644262238372
2.1480000000000	-5.0414436610985
2.1520000000000	-4.9164490009969
2.1560000000000	-4.7903454285191
2.1600000000000	-4.6639335212142
2.1640000000000	-4.5379128584674
2.1680000000000	-4.4128861873725
2.1720000000000	-4.2893653664744
2.1760000000000	-4.1677784322853
2.1800000000000	-4.0484772611922
2.1840000000000	-3.9317454196063
2.1880000000000	-3.8178059014876
2.1920000000000	-3.7068285419169
2.1960000000000	-3.5989369679147
2.2000000000000	-3.4942150044177
2.2040000000000	-3.3927124962048
2.2080000000000	-3.2944505378626
2.2120000000000	-3.1994261258217
2.2160000000000	-3.1076162610922
2.2200000000000	-3.0189815403290
2.2240000000000	-2.9334692776883
2.2280000000000	-2.8510162017798
2.2320000000000	-2.7715507717514
2.2360000000000	-2.6949951548853
2.2400000000000	-2.6212669055381
2.2440000000000	-2.5502803822096
2.2480000000000	-2.4819479362525
